SRA Project,Annotation,Runs
SRP030125,air,"SRR1000254,SRR1000260,SRR1000269,SRR999205,SRR999207,SRR999208,SRR999210,SRR999212,SRR999213,SRR999215,SRR999217,SRR999219"
SRP102564,air,SRR5381720
SRP102573,air,SRR5381739
SRP060568,air,"SRR2183670,SRR2183672,SRR2183673,SRR2183674,SRR2183675,SRR2183676,SRR2183677,SRR2183679,SRR2183680,SRR2183681,SRR2183682,SRR2183683,SRR2183684,SRR2183685,SRR2183687,SRR2183688,SRR2183689,SRR2183690,SRR2183691,SRR2183692,SRR2183694,SRR2183695,SRR2183696,SRR2183697,SRR2183698,SRR2183699,SRR2183700,SRR2183701,SRR2183703,SRR2183704,SRR2183705,SRR2183706,SRR2183708,SRR2183709,SRR2183711,SRR2183712,SRR2183713,SRR2183714,SRR2183715,SRR2183716,SRR2183717,SRR2183719,SRR2183720,SRR2183721,SRR2183722,SRR2183723,SRR2183724,SRR2183725,SRR2183727,SRR2183728,SRR2183729,SRR2183730,SRR2183731,SRR2183732,SRR2183733,SRR2183734,SRR2183735,SRR2183736,SRR2183737,SRR2183738"
SRP102567,air,SRR5381730
SRP039009,air,SRR1300040
SRP000664,air,"SRR014853,SRR014854,SRR014855,SRR014856"
SRP102571,air,SRR5381735
ERP008710,animal,"ERR675308,ERR675309,ERR675310,ERR675311,ERR675312,ERR675313,ERR675314,ERR675315,ERR675316,ERR675317,ERR675318,ERR675319,ERR675320,ERR675321,ERR675322,ERR675323,ERR675324,ERR675325,ERR675326,ERR675327,ERR675328,ERR675329,ERR675330,ERR675331,ERR675332,ERR675333,ERR675334,ERR675335,ERR675336,ERR675338,ERR675340,ERR675341,ERR675342,ERR675343,ERR675344,ERR675345,ERR675346,ERR675347,ERR675348,ERR675349,ERR675350,ERR675351,ERR675352,ERR675353,ERR675354,ERR675355,ERR675357,ERR675358,ERR675359,ERR675360,ERR675361,ERR675362,ERR675363,ERR675364,ERR675365,ERR675366,ERR675367,ERR675368,ERR675369,ERR675370,ERR675371,ERR675372,ERR675373,ERR675374,ERR675375,ERR675376,ERR675377,ERR675378,ERR675379,ERR675380,ERR675381,ERR675382,ERR675383,ERR675384,ERR675385,ERR675386,ERR675387,ERR675388,ERR675389,ERR675390,ERR675391,ERR675392,ERR675393,ERR675394,ERR675395,ERR675396,ERR675397,ERR675398,ERR675399,ERR675400,ERR675401,ERR675402,ERR675403,ERR675404,ERR675405,ERR675406,ERR675407,ERR675408,ERR675409,ERR675410,ERR675411,ERR675412,ERR675413,ERR675414,ERR675415,ERR675416,ERR675418,ERR675419,ERR675420,ERR675421,ERR675422,ERR675423,ERR675424,ERR675425,ERR675426,ERR675427,ERR675428,ERR675429,ERR675430,ERR675431,ERR675432,ERR675433,ERR675434,ERR675435,ERR675436,ERR675437,ERR675438,ERR675439,ERR675440,ERR675441,ERR675442,ERR675443,ERR675444,ERR675445,ERR675446,ERR675447,ERR675448,ERR675449,ERR675450,ERR675451,ERR675452,ERR675453,ERR675454,ERR675455,ERR675456,ERR675457,ERR675458,ERR675459,ERR675460,ERR675461,ERR675462,ERR675463,ERR675464,ERR675465,ERR675466,ERR675467,ERR675468,ERR675469,ERR675470,ERR675471,ERR675472,ERR675473,ERR675474,ERR675475,ERR675476,ERR675477,ERR675478,ERR675479,ERR675480,ERR675481,ERR675482,ERR675483,ERR675484,ERR675485,ERR675486,ERR675487,ERR675488,ERR675489,ERR675490,ERR675491,ERR675492,ERR675493,ERR675494,ERR675495,ERR675496,ERR675497,ERR675498,ERR675499,ERR675500,ERR675501,ERR675502,ERR675503,ERR675504,ERR675505,ERR675506,ERR675507,ERR675508,ERR675509,ERR675510,ERR675511,ERR675512,ERR675513,ERR675514,ERR675515,ERR675516,ERR675517,ERR675518,ERR675519,ERR675520,ERR675521,ERR675522,ERR675523,ERR675524,ERR675525,ERR675526,ERR675527,ERR675528,ERR675529,ERR675530,ERR675531,ERR675532,ERR675533,ERR675534,ERR675535,ERR675536,ERR675537,ERR675538,ERR675539,ERR675540,ERR675541,ERR675542,ERR675543,ERR675544,ERR675545,ERR675546,ERR675547,ERR675548,ERR675549,ERR675550,ERR675551,ERR675552,ERR675553,ERR675554,ERR675555,ERR675556,ERR675557,ERR675558,ERR675559,ERR675560,ERR675561,ERR675562,ERR675563,ERR675564,ERR675565,ERR675566,ERR675567,ERR675568,ERR675569,ERR675570,ERR675571,ERR675572,ERR675573,ERR675574,ERR675575,ERR675576,ERR675577,ERR675578,ERR675579,ERR675580,ERR675581,ERR675582,ERR675583,ERR675584,ERR675585,ERR675586,ERR675587,ERR675588,ERR675589,ERR675590,ERR675591,ERR675592,ERR675593,ERR675594,ERR675595,ERR675596,ERR675597,ERR675598,ERR675599,ERR675600,ERR675601,ERR675602,ERR675603,ERR675604,ERR675605,ERR675606,ERR675608,ERR675609,ERR675610,ERR675611,ERR675612,ERR675613,ERR675614,ERR675615,ERR675616,ERR675617,ERR675618,ERR675619,ERR675620,ERR675621,ERR675622,ERR675623,ERR675624,ERR675625,ERR675626,ERR675627,ERR675628,ERR675629,ERR675630,ERR675631,ERR675632,ERR675633,ERR675634,ERR675635,ERR675636,ERR675637,ERR675638,ERR675639,ERR675640,ERR675641,ERR675642,ERR675643,ERR675644,ERR675645,ERR675646,ERR675647,ERR675648,ERR675649,ERR675650,ERR675651,ERR675652,ERR675653,ERR675654,ERR675655,ERR675656,ERR675657,ERR675658,ERR675659,ERR675660,ERR675661,ERR675662,ERR675663,ERR675664,ERR675665,ERR675666,ERR675667,ERR675668,ERR675669,ERR675670,ERR675671,ERR675672,ERR675673,ERR675674,ERR675675,ERR675676,ERR675677,ERR675678,ERR675679,ERR675680,ERR675681,ERR675682,ERR675683,ERR675684,ERR675685,ERR675686,ERR675687"
SRP012966,animal,"SRR495409,SRR496625,SRR496626,SRR496699,SRR496700,SRR496701,SRR496702,SRR496703"
ERP016797,animal,"ERR1562569,ERR1562570,ERR1562571,ERR1562572,ERR1562573,ERR1562574,ERR1562575,ERR1562576,ERR1562577,ERR1562578,ERR1562579,ERR1562580,ERR1562581,ERR1562582,ERR1562583,ERR1562584,ERR1562585,ERR1562586,ERR1562587,ERR1562588,ERR1562589,ERR1562590,ERR1562591,ERR1562592"
ERP010539,animal,"ERR996432,ERR996435,ERR996436,ERR996438,ERR996439,ERR996440,ERR996441,ERR996446,ERR996447,ERR996448,ERR996452,ERR996453,ERR996454,ERR996455,ERR996457,ERR996460,ERR996464,ERR996465,ERR996467,ERR996469,ERR996470,ERR996473,ERR996474,ERR996475,ERR996476,ERR996479,ERR996481,ERR996483,ERR996484,ERR996486,ERR996487,ERR996488,ERR996490,ERR996493,ERR996494,ERR996496,ERR996502,ERR996503,ERR996504,ERR996510,ERR996511,ERR996512,ERR996513,ERR996514,ERR996515,ERR996516,ERR996518,ERR996520,ERR996521,ERR996522,ERR996523,ERR996524,ERR996525,ERR996527,ERR996531,ERR996532,ERR996535,ERR996536,ERR996537,ERR996538,ERR996539,ERR996540,ERR996541,ERR996542,ERR996543,ERR996546,ERR996547,ERR996548,ERR996550,ERR996551,ERR996552,ERR996553,ERR996554,ERR996555,ERR996556,ERR996558,ERR996559,ERR996560,ERR996564,ERR996567,ERR996568,ERR996572,ERR996573,ERR996574,ERR996576,ERR996578,ERR996581,ERR996582,ERR996583,ERR996586,ERR996588,ERR996590,ERR996594,ERR996596,ERR996598,ERR996601,ERR996602,ERR996603,ERR996604,ERR996605,ERR996606,ERR996607,ERR996609,ERR996610,ERR996611,ERR996612,ERR996613,ERR996614,ERR996616,ERR996617,ERR996618,ERR996619,ERR996620,ERR996621,ERR996622,ERR996623,ERR996624,ERR996625,ERR996626,ERR996627,ERR996628,ERR996629,ERR996630,ERR996631,ERR996632,ERR996633,ERR996634,ERR996637,ERR996640,ERR996641,ERR996643,ERR996648,ERR996652,ERR996653,ERR996654,ERR996655,ERR996658,ERR996660,ERR996661,ERR996662,ERR996664,ERR996666,ERR996668,ERR996669,ERR996670,ERR996673,ERR996675,ERR996677,ERR996678,ERR996680,ERR996683,ERR996685,ERR996686,ERR996687,ERR996689,ERR996691,ERR996692,ERR996694,ERR996699,ERR996700,ERR996701,ERR996706,ERR996707,ERR996709,ERR996710,ERR996711,ERR996712,ERR996713,ERR996714,ERR996715,ERR996716,ERR996717,ERR996718,ERR996719,ERR996720,ERR996721,ERR996722,ERR996723,ERR996724,ERR996725,ERR996726,ERR996727,ERR996728,ERR996730,ERR996731,ERR996733,ERR996734,ERR996735,ERR996736,ERR996737,ERR996740,ERR996741,ERR996742,ERR996743,ERR996744,ERR996746,ERR996747,ERR996748,ERR996749,ERR996750,ERR996751,ERR996752,ERR996753,ERR996756,ERR996757,ERR996759,ERR996760,ERR996762,ERR996763,ERR996767,ERR996769,ERR996770,ERR996771,ERR996773,ERR996774,ERR996775,ERR996776,ERR996777,ERR996779,ERR996781,ERR996782,ERR996783,ERR996784,ERR996785,ERR996786,ERR996787,ERR996788,ERR996790,ERR996791,ERR996793,ERR996795,ERR996798,ERR996799,ERR996800,ERR996802,ERR996803,ERR996807,ERR996813,ERR996818,ERR996819,ERR996821,ERR996823,ERR996825,ERR996827,ERR996828,ERR996829,ERR996832,ERR996835,ERR996837,ERR996839,ERR996840,ERR996843,ERR996849,ERR996850,ERR996851,ERR996852,ERR996853,ERR996854,ERR996855,ERR996856,ERR996857,ERR996858,ERR996859,ERR996860,ERR996861,ERR996865,ERR996868,ERR996871,ERR996873,ERR996874,ERR996875,ERR996876,ERR996877,ERR996878,ERR996879,ERR996880,ERR996881,ERR996882,ERR996883,ERR996884,ERR996886,ERR996887,ERR996888,ERR996891,ERR996892,ERR996893,ERR996895,ERR996896,ERR996897,ERR996898,ERR996899,ERR996900,ERR996905,ERR996907,ERR996908,ERR996909,ERR996910,ERR996911,ERR996912,ERR996913,ERR996914,ERR996915,ERR996916,ERR996917,ERR996918,ERR996919,ERR996920,ERR996921,ERR996922,ERR996923,ERR996924,ERR996925,ERR996926,ERR996927,ERR996928,ERR996929,ERR996930,ERR996931,ERR996932,ERR996933,ERR996934,ERR996935,ERR996936,ERR996937,ERR996938,ERR996939,ERR996940,ERR996941,ERR996942,ERR996943,ERR996944,ERR996945,ERR996948,ERR996951,ERR996954,ERR996955,ERR996956,ERR996957,ERR996958,ERR996962,ERR996963,ERR996965,ERR996966,ERR996967,ERR996969,ERR996970,ERR996971,ERR996976,ERR996977,ERR996978,ERR996979,ERR996980,ERR996981,ERR996984,ERR996985,ERR996987,ERR996989,ERR996992,ERR996993,ERR996994,ERR996997,ERR996998,ERR997001,ERR997002,ERR997004,ERR997005,ERR997006,ERR997007,ERR997008,ERR997009,ERR997010,ERR997011,ERR997012,ERR997013,ERR997014,ERR997015,ERR997016,ERR997017,ERR997018,ERR997019,ERR997020,ERR997021,ERR997022,ERR997023,ERR997024,ERR997025,ERR997026,ERR997027,ERR997028,ERR997029,ERR997030,ERR997031,ERR997032,ERR997033,ERR997034,ERR997035,ERR997036,ERR997037,ERR997038,ERR997039,ERR997040,ERR997041,ERR997042,ERR997043,ERR997044,ERR997045,ERR997046,ERR997047,ERR997048,ERR997049,ERR997050,ERR997051,ERR997052,ERR997053,ERR997054,ERR997055,ERR997056,ERR997057,ERR997058,ERR997059,ERR997060,ERR997061,ERR997062,ERR997063,ERR997064,ERR997065,ERR997066,ERR997067,ERR997068,ERR997069,ERR997070,ERR997071,ERR997072,ERR997073,ERR997074,ERR997075,ERR997076,ERR997077,ERR997078,ERR997079,ERR997080,ERR997081,ERR997082,ERR997083,ERR997084,ERR997085,ERR997086,ERR997087,ERR997088,ERR997089,ERR997090,ERR997091,ERR997092,ERR997093,ERR997094,ERR997095,ERR997096,ERR997097,ERR997098,ERR997099,ERR997100,ERR997101,ERR997102,ERR997103,ERR997104,ERR997105,ERR997106,ERR997107,ERR997108,ERR997109,ERR997110,ERR997111,ERR997112,ERR997113,ERR997114,ERR997115,ERR997116,ERR997117,ERR997118,ERR997119,ERR997120,ERR997121,ERR997122,ERR997123,ERR997124,ERR997127,ERR997128,ERR997129,ERR997130,ERR997131,ERR997132,ERR997133,ERR997134,ERR997135,ERR997137,ERR997138,ERR997139,ERR997140,ERR997141,ERR997142,ERR997143,ERR997144,ERR997145,ERR997146,ERR997147,ERR997148,ERR997149,ERR997150,ERR997151,ERR997152,ERR997153,ERR997154,ERR997155,ERR997156,ERR997157,ERR997158,ERR997159,ERR997160,ERR997161,ERR997162,ERR997163,ERR997164,ERR997165,ERR997166,ERR997167,ERR997168,ERR997169,ERR997170,ERR997171,ERR997172,ERR997173,ERR997174,ERR997175,ERR997176,ERR997177,ERR997178,ERR997179,ERR997180,ERR997181,ERR997182,ERR997183,ERR997184,ERR997185,ERR997186,ERR997187,ERR997188,ERR997189,ERR997190,ERR997191,ERR997192,ERR997193,ERR997194,ERR997195,ERR997196,ERR997197,ERR997198,ERR997199,ERR997200,ERR997201,ERR997202,ERR997203,ERR997204,ERR997205,ERR997206,ERR997207,ERR997208,ERR997209,ERR997210,ERR997211,ERR997212,ERR997213,ERR997214,ERR997215,ERR997216,ERR997217,ERR997218,ERR997219,ERR997220,ERR997221,ERR997222,ERR997223,ERR997224,ERR997225,ERR997226,ERR997227,ERR997228,ERR997229,ERR997230,ERR997231,ERR997232,ERR997233,ERR997234,ERR997235,ERR997236,ERR997237,ERR997238,ERR997239,ERR997240,ERR997241,ERR997242,ERR997243,ERR997244,ERR997245,ERR997246,ERR997247,ERR997248,ERR997249,ERR997250,ERR997251,ERR997252,ERR997253,ERR997254,ERR997255,ERR997256,ERR997257,ERR997258,ERR997259,ERR997260,ERR997261,ERR997262,ERR997263,ERR997264,ERR997265,ERR997266,ERR997267,ERR997268,ERR997269,ERR997270,ERR997271,ERR997272,ERR997273,ERR997274,ERR997275,ERR997276,ERR997277,ERR997278,ERR997279,ERR997280,ERR997281,ERR997282,ERR997283,ERR997284,ERR997285,ERR997286,ERR997287,ERR997288,ERR997289,ERR997290,ERR997291,ERR997292,ERR997293,ERR997294,ERR997295,ERR997296,ERR997297,ERR997298,ERR997299,ERR997300,ERR997301,ERR997302,ERR997303,ERR997304,ERR997305,ERR997306,ERR997307,ERR997308,ERR997309,ERR997310,ERR997311,ERR997312,ERR997313,ERR997314,ERR997315,ERR997316,ERR997317,ERR997318,ERR997319,ERR997320,ERR997321,ERR997322,ERR997323,ERR997324,ERR997325,ERR997326,ERR997327,ERR997328,ERR997329,ERR997330,ERR997331,ERR997332,ERR997333,ERR997334,ERR997335,ERR997336,ERR997337,ERR997338,ERR997339,ERR997340,ERR997341,ERR997342,ERR997343,ERR997344,ERR997345,ERR997346,ERR997347,ERR997348,ERR997349,ERR997350,ERR997351,ERR997352,ERR997353,ERR997354,ERR997355,ERR997356,ERR997357,ERR997358,ERR997359,ERR997360,ERR997361,ERR997362,ERR997363,ERR997364,ERR997365,ERR997366,ERR997367,ERR997368,ERR997369,ERR997370,ERR997371,ERR997372,ERR997373,ERR997374,ERR997375,ERR997376,ERR997377,ERR997378,ERR997379,ERR997380,ERR997381,ERR997382,ERR997383,ERR997384,ERR997385,ERR997386,ERR997387,ERR997388,ERR997389,ERR997390,ERR997391,ERR997392,ERR997393,ERR997394,ERR997395,ERR997396,ERR997397,ERR997398,ERR997399,ERR997400,ERR997401,ERR997402,ERR997403,ERR997404,ERR997405,ERR997406,ERR997407,ERR997408,ERR997409,ERR997410,ERR997411,ERR997412,ERR997413,ERR997414,ERR997415,ERR997416,ERR997417,ERR997418,ERR997419,ERR997420,ERR997421,ERR997422,ERR997423,ERR997424,ERR997425,ERR997426,ERR997427,ERR997428,ERR997429,ERR997430,ERR997432,ERR997433,ERR997434,ERR997438,ERR997439,ERR997440,ERR997441"
ERP010448,animal,"ERR878221,ERR878223,ERR878226,ERR878227,ERR878229,ERR878230,ERR878231,ERR878235,ERR878236,ERR878238,ERR878240,ERR878241,ERR878243,ERR878244,ERR878245,ERR878247,ERR878248,ERR878249,ERR878251,ERR878255,ERR878257,ERR878258,ERR878259,ERR878260,ERR878261,ERR878263,ERR878265,ERR878266,ERR878269,ERR878270,ERR878271,ERR878272,ERR878275,ERR878277,ERR878278,ERR878279,ERR878281,ERR878282,ERR878284,ERR878285,ERR878286,ERR878287,ERR878288,ERR878289,ERR878290,ERR878291,ERR878292,ERR878294,ERR878295,ERR878299,ERR878300,ERR878301,ERR878302"
SRP099225,animal,"SRR5244894,SRR5245155"
SRP099226,animal,"SRR5244964,SRR5244965"
SRP099228,animal,"SRR5245156,SRR5245652"
SRP099230,animal,"SRR5245158,SRR5245160"
SRP099229,animal,"SRR5245157,SRR5245159"
SRP090274,animal,"SRR4289321,SRR4289322"
SRP010470,animal,"SRR401397,SRR401399"
SRP006872,animal,"SRR218093,SRR218104,SRR218107,SRR218108,SRR218109,SRR218110,SRR218111,SRR218112,SRR218113"
DRP002334,animal,DRR021338
SRP075724,animal,"SRR3588394,SRR3588527,SRR3588546,SRR3588547,SRR3588548,SRR3588549,SRR3588550,SRR3588551,SRR3588552"
SRP041163,animal,SRR1239316
ERP013093,animal,"ERR1111011,ERR1111173,ERR1111174,ERR1111175,ERR1111176,ERR1111177,ERR1111178,ERR1111179,ERR1111180,ERR1111181,ERR1111182,ERR1111183,ERR1111184,ERR1111185"
SRP061109,animal,"SRR2102247,SRR2102257"
SRP097207,animal,"SRR5190213,SRR5190214,SRR5190215,SRR5190216,SRR5190217,SRR5190218,SRR5190219,SRR5190220,SRR5190221,SRR5190222,SRR5190223,SRR5190224,SRR5190225,SRR5190226,SRR5190227,SRR5190228,SRR5190229,SRR5190230,SRR5190231,SRR5190233,SRR5190234,SRR5190235,SRR5190236,SRR5190237,SRR5190238,SRR5190239,SRR5190240,SRR5190241,SRR5190242,SRR5190243,SRR5190244,SRR5190245,SRR5190246,SRR5190247,SRR5190248,SRR5190249,SRR5190251,SRR5190252,SRR5190253,SRR5190254,SRR5190255,SRR5190256,SRR5190257,SRR5190258,SRR5190259,SRR5190260,SRR5190262,SRR5190263,SRR5190264,SRR5190265,SRR5190267,SRR5190268,SRR5190269,SRR5190270,SRR5190271,SRR5190272,SRR5190273,SRR5190274,SRR5190275,SRR5190276,SRR5190277,SRR5190278,SRR5190279,SRR5190280,SRR5190281,SRR5190282,SRR5190283,SRR5190284"
SRP073759,animal,SRR3434587
SRP118690,animal,"SRR6059924,SRR6059925,SRR6059926,SRR6059927,SRR6059928,SRR6059929,SRR6059930,SRR6059931,SRR6059932,SRR6059933,SRR6059934,SRR6059936,SRR6059938,SRR6059939,SRR6059940,SRR6059942,SRR6059943,SRR6059944,SRR6059945,SRR6059946,SRR6059947,SRR6059948,SRR6059949,SRR6059950,SRR6059951,SRR6059952,SRR6059953,SRR6059954,SRR6059955,SRR6059956,SRR6059957,SRR6059959,SRR6059960,SRR6059961,SRR6059962,SRR6059963,SRR6059965,SRR6059967,SRR6059968,SRR6059969,SRR6059970,SRR6059971,SRR6059973"
SRP119564,animal,SRR6147586
SRP064850,animal,"SRR2668896,SRR2668947,SRR2669010,SRR2669033,SRR2669055,SRR2669056,SRR2669131,SRR2669132,SRR2669133,SRR2669134,SRR2669135,SRR2669136,SRR2669137"
ERP020630,animal,"ERR1766290,ERR1766291,ERR1766292,ERR1766293,ERR1766294,ERR1766295"
ERP018580,animal,"ERR1755208,ERR1755209,ERR1755210,ERR1755211,ERR1755212,ERR1755213,ERR1755214,ERR1755215,ERR1755216,ERR1755217,ERR1755218,ERR1755219,ERR1755220,ERR1755221,ERR1755222,ERR1755223,ERR1755224,ERR1755225,ERR1755226,ERR1755227,ERR1755228,ERR1755229,ERR1755230,ERR1755231,ERR1755232,ERR1755233,ERR1755234,ERR1755235,ERR1755236,ERR1755237,ERR1755238,ERR1755239,ERR1755240,ERR1755241,ERR1755242,ERR1755243,ERR1755244,ERR1755245,ERR1755246,ERR1755247,ERR1755248,ERR1755249,ERR1755250,ERR1755251,ERR1755252,ERR1755253,ERR1755254,ERR1755255,ERR1755256,ERR1755257,ERR1755258,ERR1755259,ERR1755260,ERR1755261,ERR1755262,ERR1755263,ERR1755264,ERR1755265,ERR1755266,ERR1755267,ERR1755268,ERR1755269,ERR1755270,ERR1755271,ERR1755272,ERR1755273,ERR1755274,ERR1755275,ERR1755276,ERR1755277,ERR1755278,ERR1755279,ERR1755280,ERR1755281,ERR1755282,ERR1755283,ERR1755284,ERR1755285,ERR1755286,ERR1755287,ERR1755288,ERR1755289,ERR1755290,ERR1755291,ERR1755292,ERR1755293,ERR1755294,ERR1755295,ERR1755296,ERR1755297,ERR1755298,ERR1755299,ERR1755300,ERR1755301,ERR1755302,ERR1755303,ERR1755304,ERR1755305,ERR1755306,ERR1755307,ERR1755308,ERR1755309,ERR1755310,ERR1755311,ERR1755312,ERR1755313,ERR1755314,ERR1755315,ERR1755316,ERR1755318,ERR1755319,ERR1755320,ERR1755321,ERR1755322,ERR1755323,ERR1755324,ERR1755325,ERR1755326,ERR1755327,ERR1755328,ERR1755329,ERR1755330,ERR1755331,ERR1755332,ERR1755333,ERR1755334,ERR1755335,ERR1755336,ERR1755337,ERR1755338,ERR1755339,ERR1755340,ERR1755341,ERR1755342,ERR1755343,ERR1755344,ERR1755345,ERR1755346,ERR1755347,ERR1755348,ERR1755349,ERR1755350,ERR1755351,ERR1755352,ERR1755353,ERR1755354,ERR1755355,ERR1755356,ERR1755357,ERR1755358,ERR1755359,ERR1755360,ERR1755361,ERR1755362,ERR1755363,ERR1755364,ERR1755365,ERR1755366,ERR1755367,ERR1755368,ERR1755369,ERR1755370,ERR1755371,ERR1755372,ERR1755373,ERR1755374,ERR1755375,ERR1755376,ERR1755377,ERR1755378,ERR1755379,ERR1755380,ERR1755381,ERR1755382,ERR1755383,ERR1755384,ERR1755385,ERR1755386,ERR1755387"
SRP060527,animal,"SRR2093689,SRR2093692,SRR2093765,SRR2093777,SRR2093797,SRR2093798,SRR2093828"
ERP017057,animal,"ERR1614693,ERR1614694,ERR1614695,ERR1614696,ERR1614698,ERR1614699,ERR1614700,ERR1614702,ERR1614703,ERR1614704,ERR1614705,ERR1614706,ERR1614707,ERR1614708,ERR1614709,ERR1614710,ERR1614712,ERR1614715,ERR1614716,ERR1614718,ERR1614719,ERR1614721,ERR1614722,ERR1614724,ERR1614725,ERR1614727,ERR1614728,ERR1614730,ERR1614731,ERR1614697,ERR1614701,ERR1614713"
ERP003671,animal,"ERR318676,ERR318677,ERR318678,ERR318679,ERR318680,ERR318681,ERR318682,ERR318683,ERR318684,ERR318685,ERR318687,ERR318688,ERR318689,ERR318690,ERR318691,ERR318692,ERR318693,ERR318694,ERR318695,ERR318698,ERR318699,ERR318700,ERR318701,ERR318702,ERR318703,ERR318704,ERR318705,ERR318706,ERR318707,ERR318708,ERR318709,ERR318710"
SRP115267,animal,"SRR5927678,SRR5927679,SRR5927680,SRR5927681,SRR5927682,SRR5927683,SRR5927684,SRR5927685,SRR5927686,SRR5927687,SRR5927688,SRR5927689,SRR5927690,SRR5927691,SRR5927692,SRR5927693,SRR5927694,SRR5927695,SRR5927696,SRR5927697,SRR5927699,SRR5927700,SRR5927701,SRR5927702,SRR5927703,SRR5927704,SRR5927705,SRR5927706,SRR5927707,SRR5927708,SRR5927709,SRR5927710,SRR5927711,SRR5927712,SRR5927713,SRR5927714,SRR5927715,SRR5927716,SRR5927717,SRR5927718,SRR5927719,SRR5927720,SRR5927721,SRR5927722,SRR5927723,SRR5927724,SRR5927725,SRR5927726,SRR5927727,SRR5927728,SRR5927729,SRR5927698"
ERP011682,animal,"ERR1109217,ERR1109249,ERR1109252,ERR1109264,ERR1109265,ERR1109266,ERR1109267,ERR1109268,ERR1109273,ERR1109274,ERR1109275,ERR1109291,ERR1109292,ERR1109294,ERR1205221,ERR1205222,ERR1205223"
SRP017795,animal,SRR646409
SRP040073,animal,"SRR1201870,SRR1221442"
SRP118631,animal,SRR6059713
SRP118696,animal,SRR6060192
SRP118691,animal,SRR6059974
SRP118692,animal,SRR6059975
SRP015994,animal,"SRR579541,SRR606389"
SRP028315,animal,"SRR945910,SRR945911,SRR945913,SRR945914"
SRP099038,animal,SRR5237156
SRP007931,animal,"SRR333074,SRR333075"
DRP002684,animal,DRR019499
SRP103726,animal,"SRR5451791,SRR5451792,SRR5451801,SRR5451802,SRR5451803,SRR5451804,SRR5451805,SRR5451806,SRR5451807,SRR5451808,SRR5451809,SRR5452015,SRR5452016,SRR5452017,SRR5452018,SRR5452019,SRR5452020,SRR5452021,SRR5452022"
SRP033277,animal,"SRR2924946,SRR2924947,SRR2924948,SRR2924949,SRR2924950,SRR2924951,SRR2924952,SRR2924954,SRR2924955,SRR2924957,SRR2924959,SRR2924960,SRR2924961,SRR2924962,SRR2924964,SRR2924965,SRR2924966,SRR2924967"
SRP108410,animal,"SRR5638263,SRR5638264,SRR5638266,SRR5638267,SRR5638268,SRR5638269,SRR5638265,SRR5638270"
SRP108411,animal,"SRR5638271,SRR5638272,SRR5638273,SRR5638274,SRR5638276,SRR5638277,SRR5638278,SRR5638275"
SRP108246,animal,"SRR5626976,SRR5626977,SRR5626978,SRR5626979,SRR5626980,SRR5626981,SRR5626982,SRR5626975"
SRP110785,animal,"SRR5786434,SRR5786435,SRR5786436,SRR5786437,SRR5786438,SRR5786439,SRR5786440,SRR5786441,SRR5786442,SRR5786443,SRR5786444,SRR5786445,SRR5786446,SRR5786447,SRR5786448,SRR5786449,SRR5786450,SRR5786451,SRR5786452,SRR5786453,SRR5786454,SRR5786455,SRR5786456,SRR5786457,SRR5786458,SRR5786459,SRR5786460,SRR5786461,SRR5786462,SRR5786463"
SRP100623,animal,"SRR5280402,SRR5280403,SRR5280404"
SRP007152,animal,"SRR275655,SRR275664"
SRP007153,animal,"SRR275656,SRR277280"
SRP071915,animal,"SRR5359850,SRR5360616"
ERP001950,animal,"ERR192252,ERR192254,ERR192256,ERR192258"
SRP071106,animal,SRR3201731
SRP071109,animal,SRR3202001
SRP049709,animal,"SRR1648444,SRR1649330"
SRP071229,animal,"SRR3208453,SRR3208454,SRR3208455,SRR3208456,SRR3208457,SRR3208458,SRR3208459,SRR3208460,SRR3208461,SRR3208462,SRR3208464,SRR3208465,SRR3208466,SRR3208467,SRR3208468,SRR3208470,SRR3208471,SRR3208472,SRR3208473,SRR3208475,SRR3208476,SRR3208477,SRR3208479,SRR3208480,SRR3208482,SRR3208484"
ERP010613,animal,"ERR906492,ERR906500,ERR906502,ERR906508,ERR906522,ERR906532,ERR906540,ERR906550,ERR906551,ERR906556,ERR906570,ERR906571"
SRP003774,animal,"SRR068395,SRR068396,SRR068398,SRR068399"
ERP020040,animal,"ERR1745453,ERR1745454,ERR1745455,ERR1745456,ERR1745457,ERR1745458,ERR1745459,ERR1745460,ERR1745461,ERR1745462,ERR1745463,ERR1745464,ERR1745465,ERR1745466,ERR1745467,ERR1745468,ERR1745469"
